Eval	SOPwTP	DDDT
200	-1968887.00	0.72
300	-1968887.00	0.72
400	-1838441.00	0.72
500	-1838441.00	0.72
600	-1838441.00	0.72
700	-1838441.00	0.72
800	-1838441.00	0.72
900	-1838441.00	0.72
1000	-1838441.00	0.72
1100	-1838441.00	0.72
1200	-1838441.00	0.72
1300	-1838441.00	0.72
1400	-1838441.00	0.72
1500	-1838441.00	0.72
1600	-1838441.00	0.72
1700	-1838441.00	0.73
1800	-1838441.00	0.73
1900	-1838441.00	0.73
2000	-1838441.00	0.73
2100	-1838441.00	0.73
2200	-1838441.00	0.73
2300	-1838441.00	0.73
2400	-1838441.00	0.73
2500	-1838441.00	0.73
2600	-1823720.00	0.73
2700	-1823720.00	0.73
2800	-1823720.00	0.73
2900	-1823720.00	0.73
3000	-1823720.00	0.73
3100	-1823720.00	0.73
3200	-1809013.00	0.73
3300	-1786424.00	0.73
3400	-1786424.00	0.73
3500	-1786424.00	0.73
3600	-1780964.00	0.73
3700	-1779684.00	0.73
3800	-1779684.00	0.73
3900	-1779684.00	0.73
4000	-1777357.00	0.73
4100	-1777357.00	0.73
4200	-1777357.00	0.73
4300	-1777357.00	0.73
4400	-1777357.00	0.73
4500	-1777357.00	0.73
4600	-1777357.00	0.73
4700	-1777357.00	0.73
4800	-1777357.00	0.73
4900	-1777357.00	0.73
5000	-1777357.00	0.73
