Eval	SOPwTP	DDDT
200	4206.00	0.64
300	5629.00	0.64
400	5799.00	0.64
500	7022.00	0.64
600	7022.00	0.64
700	7022.00	0.64
800	7022.00	0.64
900	7022.00	0.64
1000	7022.00	0.65
1100	7022.00	0.65
1200	7247.00	0.65
1300	7247.00	0.65
1400	9551.00	0.65
1500	9551.00	0.65
1600	9551.00	0.65
1700	9551.00	0.65
1800	9551.00	0.65
1900	9551.00	0.65
2000	9581.00	0.65
2100	9581.00	0.65
2200	9581.00	0.65
2300	9581.00	0.65
2400	9871.00	0.65
2500	9871.00	0.65
2600	9871.00	0.65
2700	9871.00	0.65
2800	9871.00	0.65
2900	9871.00	0.65
3000	9871.00	0.65
3100	9871.00	0.65
3200	9871.00	0.65
3300	9871.00	0.65
3400	9871.00	0.65
3500	9871.00	0.65
3600	9871.00	0.66
3700	9871.00	0.66
3800	9871.00	0.66
3900	9871.00	0.66
4000	9871.00	0.66
4100	9871.00	0.66
4200	9871.00	0.66
4300	9871.00	0.66
4400	9899.00	0.66
4500	9899.00	0.66
4600	9899.00	0.66
4700	9899.00	0.66
4800	9899.00	0.66
4900	9899.00	0.66
5000	9899.00	0.66
5100	9899.00	0.66
5200	9899.00	0.66
5300	9899.00	0.66
5400	9899.00	0.66
5500	9899.00	0.66
5600	9899.00	0.66
5700	9899.00	0.66
5800	9899.00	0.66
5900	9899.00	0.66
6000	9899.00	0.66
6100	9942.00	0.66
6200	9942.00	0.66
6300	9942.00	0.66
6400	9942.00	0.66
6500	9942.00	0.66
6600	9942.00	0.66
6700	9942.00	0.66
6800	9942.00	0.66
6900	9942.00	0.66
7000	9942.00	0.66
7100	9942.00	0.66
7200	9942.00	0.66
7300	9942.00	0.66
7400	9942.00	0.66
7500	9942.00	0.66
7600	9942.00	0.66
7700	9942.00	0.66
7800	9942.00	0.66
7900	9942.00	0.66
8000	9942.00	0.66
8100	9942.00	0.66
8200	9942.00	0.66
8300	9942.00	0.66
8400	9942.00	0.66
8500	9943.00	0.66
8600	9943.00	0.66
8700	9943.00	0.66
8800	9943.00	0.66
8900	9943.00	0.66
9000	9943.00	0.66
9100	9943.00	0.66
9200	9943.00	0.66
9300	9943.00	0.66
9400	9943.00	0.66
9500	9943.00	0.66
9600	9943.00	0.66
9700	9943.00	0.66
9800	9943.00	0.66
9900	9943.00	0.66
10000	9943.00	0.66
