Eval	SOPwTP	DDDT
200	53009.00	0.77
300	53009.00	0.77
400	53021.00	0.77
500	53021.00	0.77
600	53021.00	0.77
700	53358.00	0.77
800	53370.00	0.77
900	53370.00	0.77
1000	53370.00	0.77
1100	53370.00	0.77
1200	53370.00	0.77
1300	53370.00	0.78
1400	53508.00	0.78
1500	53508.00	0.78
1600	53508.00	0.78
1700	53508.00	0.78
1800	53508.00	0.78
1900	53508.00	0.78
2000	53508.00	0.78
2100	53508.00	0.78
2200	53508.00	0.78
2300	53508.00	0.78
2400	53508.00	0.78
2500	53508.00	0.78
2600	53541.00	0.78
2700	53541.00	0.78
2800	53541.00	0.78
2900	53541.00	0.78
3000	53541.00	0.78
3100	53541.00	0.78
3200	53541.00	0.78
3300	53541.00	0.78
3400	53541.00	0.78
3500	53541.00	0.78
3600	53541.00	0.78
3700	53541.00	0.78
3800	53541.00	0.78
3900	53541.00	0.78
4000	53551.00	0.78
4100	53551.00	0.78
4200	53551.00	0.78
4300	53551.00	0.78
4400	53551.00	0.78
4500	53551.00	0.78
4600	53551.00	0.78
4700	53551.00	0.78
4800	53551.00	0.78
4900	53551.00	0.78
5000	53551.00	0.78
5100	53551.00	0.78
5200	53551.00	0.78
5300	53551.00	0.78
5400	53551.00	0.78
5500	53572.00	0.78
5600	53572.00	0.78
5700	53572.00	0.78
5800	53572.00	0.78
5900	53592.00	0.78
6000	53592.00	0.78
6100	53592.00	0.78
6200	53592.00	0.78
6300	53592.00	0.78
6400	53592.00	0.78
6500	53592.00	0.78
6600	53592.00	0.78
6700	53592.00	0.78
6800	53592.00	0.78
6900	53592.00	0.78
7000	53592.00	0.78
7100	53592.00	0.78
7200	53613.00	0.78
7300	53613.00	0.78
7400	53613.00	0.78
7500	53613.00	0.78
7600	53613.00	0.78
7700	53613.00	0.78
7800	53613.00	0.78
7900	53613.00	0.78
8000	53613.00	0.78
8100	53613.00	0.78
8200	53613.00	0.78
8300	53613.00	0.78
8400	53613.00	0.79
8500	53944.00	0.79
8600	53944.00	0.79
8700	53944.00	0.79
8800	53985.00	0.79
8900	53985.00	0.79
9000	53985.00	0.79
9100	53985.00	0.79
9200	53985.00	0.79
9300	53985.00	0.79
9400	53985.00	0.79
9500	53985.00	0.79
9600	53985.00	0.79
9700	53985.00	0.79
9800	53985.00	0.79
9900	53985.00	0.79
10000	53987.00	0.79
