Eval	SOPwTP	DDDT
200	-143663.00	0.65
300	-143387.00	0.66
400	-143387.00	0.66
500	-136737.00	0.66
600	-136656.00	0.66
700	-136656.00	0.66
800	-136656.00	0.66
900	-136656.00	0.66
1000	-136656.00	0.66
1100	-135883.00	0.66
1200	-135883.00	0.66
1300	-135883.00	0.66
1400	-135883.00	0.66
1500	-135883.00	0.67
1600	-135883.00	0.67
1700	-135883.00	0.67
1800	-135883.00	0.67
1900	-135883.00	0.67
2000	-135883.00	0.67
2100	-135883.00	0.67
2200	-135883.00	0.67
2300	-135883.00	0.67
2400	-135883.00	0.67
2500	-135883.00	0.67
2600	-135883.00	0.67
2700	-135883.00	0.67
2800	-135883.00	0.67
2900	-135883.00	0.67
3000	-135865.00	0.67
3100	-135865.00	0.67
3200	-135865.00	0.67
3300	-135865.00	0.67
3400	-135865.00	0.67
3500	-135865.00	0.67
3600	-135865.00	0.67
3700	-135414.00	0.67
3800	-135414.00	0.67
3900	-135414.00	0.67
4000	-135414.00	0.67
4100	-135414.00	0.67
4200	-135414.00	0.67
4300	-135414.00	0.67
4400	-135414.00	0.67
4500	-135414.00	0.67
4600	-135414.00	0.67
4700	-135414.00	0.67
4800	-135414.00	0.67
4900	-135414.00	0.67
5000	-135414.00	0.67
5100	-135414.00	0.67
5200	-135414.00	0.67
5300	-135414.00	0.67
5400	-135414.00	0.67
5500	-135414.00	0.67
5600	-135414.00	0.67
5700	-135414.00	0.67
5800	-135414.00	0.67
5900	-135414.00	0.67
6000	-135414.00	0.67
6100	-135414.00	0.67
6200	-135414.00	0.67
6300	-135414.00	0.67
6400	-135414.00	0.67
6500	-135414.00	0.67
6600	-135414.00	0.67
6700	-135414.00	0.67
6800	-135414.00	0.67
6900	-135414.00	0.67
7000	-135414.00	0.67
7100	-135414.00	0.67
7200	-135414.00	0.67
7300	-135414.00	0.67
7400	-135414.00	0.67
7500	-135414.00	0.67
7600	-135414.00	0.67
7700	-135414.00	0.67
7800	-135414.00	0.67
7900	-135414.00	0.67
8000	-135414.00	0.67
8100	-135414.00	0.67
8200	-135414.00	0.67
8300	-135414.00	0.67
8400	-135414.00	0.67
8500	-135414.00	0.67
8600	-135414.00	0.67
8700	-134706.00	0.67
8800	-134706.00	0.67
8900	-134706.00	0.67
9000	-134706.00	0.67
9100	-134706.00	0.67
9200	-134706.00	0.67
9300	-134706.00	0.67
9400	-134706.00	0.67
9500	-134706.00	0.67
9600	-134706.00	0.67
9700	-134706.00	0.67
9800	-134706.00	0.67
9900	-134706.00	0.67
10000	-134706.00	0.67
