Eval	SOPwTP	DDDT
200	-382479.00	0.67
300	-382479.00	0.67
400	-382479.00	0.67
500	-382479.00	0.67
600	-382479.00	0.67
700	-382118.00	0.67
800	-382118.00	0.67
900	-382118.00	0.67
1000	-381319.00	0.67
1100	-381319.00	0.67
1200	-381319.00	0.67
1300	-381149.00	0.67
1400	-381149.00	0.67
1500	-381149.00	0.67
1600	-381149.00	0.67
1700	-381149.00	0.67
1800	-381149.00	0.67
1900	-381149.00	0.67
2000	-381149.00	0.67
2100	-381149.00	0.67
2200	-381149.00	0.68
2300	-380002.00	0.68
2400	-380002.00	0.68
2500	-380002.00	0.68
2600	-380002.00	0.68
2700	-380002.00	0.68
2800	-380002.00	0.68
2900	-380002.00	0.68
3000	-380002.00	0.68
3100	-380002.00	0.68
3200	-380002.00	0.68
3300	-380002.00	0.68
3400	-380002.00	0.68
3500	-380002.00	0.68
3600	-380002.00	0.68
3700	-380002.00	0.68
3800	-380002.00	0.68
3900	-380002.00	0.68
4000	-380002.00	0.68
4100	-380002.00	0.68
4200	-380002.00	0.68
4300	-380002.00	0.68
4400	-380002.00	0.68
4500	-380002.00	0.68
4600	-380002.00	0.68
4700	-380002.00	0.68
4800	-380002.00	0.68
4900	-380002.00	0.68
5000	-380002.00	0.68
5100	-380002.00	0.68
5200	-380002.00	0.69
5300	-380002.00	0.69
5400	-380002.00	0.69
5500	-380002.00	0.69
5600	-380002.00	0.69
5700	-380002.00	0.69
5800	-380002.00	0.69
5900	-380002.00	0.69
6000	-380002.00	0.69
6100	-380002.00	0.69
6200	-380002.00	0.69
6300	-380002.00	0.69
6400	-380002.00	0.69
6500	-380002.00	0.69
6600	-380002.00	0.69
6700	-380002.00	0.69
6800	-380002.00	0.69
6900	-380002.00	0.69
7000	-380002.00	0.69
