Eval	SOPwTP	DDDT
200	-274831.00	0.67
300	-274831.00	0.67
400	-274831.00	0.67
500	-274831.00	0.67
600	-274831.00	0.67
700	-274831.00	0.67
800	-274831.00	0.67
900	-274831.00	0.67
1000	-274831.00	0.67
1100	-274831.00	0.67
1200	-274831.00	0.67
1300	-274831.00	0.67
1400	-274831.00	0.67
1500	-274831.00	0.67
1600	-274831.00	0.67
1700	-274831.00	0.67
1800	-274831.00	0.67
1900	-274831.00	0.67
2000	-274831.00	0.67
2100	-274831.00	0.67
2200	-274831.00	0.67
2300	-274831.00	0.67
2400	-274831.00	0.67
2500	-274329.00	0.67
2600	-274329.00	0.67
2700	-274285.00	0.67
2800	-274285.00	0.67
2900	-274285.00	0.67
3000	-274285.00	0.67
3100	-274285.00	0.67
3200	-274080.00	0.68
3300	-274080.00	0.68
3400	-274080.00	0.68
3500	-274073.00	0.68
3600	-274073.00	0.68
3700	-274073.00	0.68
3800	-274073.00	0.68
3900	-274029.00	0.68
4000	-274029.00	0.68
4100	-274029.00	0.68
4200	-273990.00	0.68
4300	-273990.00	0.68
4400	-273990.00	0.68
4500	-273990.00	0.68
4600	-273990.00	0.68
4700	-273990.00	0.68
4800	-273990.00	0.68
4900	-273990.00	0.68
5000	-273990.00	0.68
5100	-273990.00	0.68
5200	-273990.00	0.68
5300	-273662.00	0.68
5400	-273556.00	0.68
5500	-273556.00	0.68
5600	-273381.00	0.68
5700	-273381.00	0.68
5800	-273381.00	0.68
5900	-273381.00	0.68
6000	-273381.00	0.68
6100	-273381.00	0.68
6200	-273332.00	0.68
6300	-273332.00	0.68
6400	-273332.00	0.69
6500	-273332.00	0.69
6600	-273332.00	0.70
6700	-273332.00	0.70
6800	-273332.00	0.70
6900	-273332.00	0.70
7000	-273332.00	0.70
7100	-273332.00	0.70
7200	-273332.00	0.70
7300	-273332.00	0.70
7400	-273332.00	0.70
7500	-273332.00	0.70
7600	-273332.00	0.70
7700	-273332.00	0.70
7800	-273332.00	0.70
7900	-273332.00	0.70
8000	-273332.00	0.70
8100	-273332.00	0.70
8200	-273332.00	0.70
8300	-273332.00	0.70
8400	-273332.00	0.70
8500	-273332.00	0.70
8600	-273332.00	0.70
8700	-273332.00	0.70
8800	-273332.00	0.70
8900	-273332.00	0.70
9000	-273332.00	0.70
9100	-273332.00	0.70
9200	-273332.00	0.70
9300	-273332.00	0.70
9400	-273332.00	0.70
9500	-273332.00	0.70
9600	-273332.00	0.70
9700	-273332.00	0.70
9800	-273332.00	0.70
9900	-273332.00	0.70
10000	-273332.00	0.70
