Eval	SOPwTP	DDDT
200	43580.00	0.79
300	43580.00	0.79
400	43788.00	0.79
500	43797.00	0.79
600	44285.00	0.80
700	44285.00	0.80
800	44285.00	0.80
900	44285.00	0.80
1000	44285.00	0.80
1100	44285.00	0.80
1200	44285.00	0.80
1300	44285.00	0.80
1400	44285.00	0.80
1500	44285.00	0.80
1600	44285.00	0.80
1700	44285.00	0.80
1800	44285.00	0.80
1900	44285.00	0.80
2000	44285.00	0.80
2100	44285.00	0.80
2200	44285.00	0.80
2300	44285.00	0.80
2400	44285.00	0.81
2500	44285.00	0.81
2600	44285.00	0.81
2700	44285.00	0.81
2800	44285.00	0.81
2900	44285.00	0.81
3000	44285.00	0.81
3100	44285.00	0.81
3200	44285.00	0.81
3300	44285.00	0.81
3400	44285.00	0.81
3500	44285.00	0.81
3600	44285.00	0.81
3700	44285.00	0.81
3800	44285.00	0.81
3900	44285.00	0.81
4000	44285.00	0.81
4100	44285.00	0.81
4200	44316.00	0.81
4300	44316.00	0.81
4400	44316.00	0.81
4500	44316.00	0.81
4600	44316.00	0.81
4700	44316.00	0.81
4800	44316.00	0.81
4900	44316.00	0.81
5000	44316.00	0.81
5100	44316.00	0.81
5200	44316.00	0.81
5300	44316.00	0.81
5400	44316.00	0.81
5500	44316.00	0.81
5600	44316.00	0.81
5700	44316.00	0.81
5800	44316.00	0.81
5900	44316.00	0.81
6000	44316.00	0.81
6100	44316.00	0.81
6200	44316.00	0.81
6300	44316.00	0.81
6400	44316.00	0.81
6500	44316.00	0.81
6600	44316.00	0.81
6700	44316.00	0.81
6800	44316.00	0.81
6900	44316.00	0.81
7000	44316.00	0.81
7100	44316.00	0.81
7200	44316.00	0.81
7300	44316.00	0.81
7400	44316.00	0.81
7500	44316.00	0.81
7600	44316.00	0.81
7700	44321.00	0.81
7800	44321.00	0.81
7900	44321.00	0.81
8000	44327.00	0.81
8100	44327.00	0.81
8200	44327.00	0.81
8300	44327.00	0.81
8400	44327.00	0.81
8500	44327.00	0.81
8600	44330.00	0.81
8700	44330.00	0.81
8800	44330.00	0.81
8900	44330.00	0.81
9000	44330.00	0.81
9100	44330.00	0.81
9200	44330.00	0.81
9300	44330.00	0.81
9400	44330.00	0.81
9500	44330.00	0.81
9600	44330.00	0.81
9700	44330.00	0.81
9800	44330.00	0.81
9900	44330.00	0.81
10000	44330.00	0.81
