Eval	SOPwTP	DDDT
200	121727.00	0.77
300	121837.00	0.77
400	121838.00	0.77
500	121838.00	0.77
600	121971.00	0.77
700	122082.00	0.77
800	122082.00	0.77
900	122082.00	0.77
1000	122748.00	0.77
1100	122748.00	0.77
1200	122748.00	0.77
1300	122748.00	0.77
1400	122748.00	0.77
1500	122748.00	0.77
1600	122773.00	0.77
1700	122773.00	0.77
1800	122773.00	0.77
1900	122773.00	0.77
2000	122773.00	0.77
2100	122773.00	0.77
2200	123057.00	0.77
2300	123057.00	0.77
2400	123057.00	0.77
2500	123057.00	0.77
2600	123057.00	0.77
2700	123057.00	0.77
2800	123057.00	0.77
2900	123057.00	0.77
3000	123057.00	0.77
3100	123057.00	0.77
3200	123057.00	0.77
3300	123057.00	0.77
3400	123057.00	0.77
3500	123057.00	0.77
3600	123057.00	0.77
3700	123057.00	0.77
3800	123057.00	0.77
3900	123057.00	0.77
4000	123057.00	0.77
4100	123057.00	0.77
4200	123057.00	0.77
4300	123057.00	0.77
4400	123057.00	0.77
4500	123057.00	0.77
4600	123057.00	0.77
4700	123057.00	0.77
4800	123057.00	0.77
4900	123057.00	0.77
5000	123057.00	0.77
5100	123057.00	0.77
5200	123057.00	0.77
5300	123057.00	0.77
5400	123057.00	0.77
5500	123057.00	0.77
5600	123057.00	0.77
5700	123057.00	0.77
5800	123057.00	0.77
5900	123057.00	0.77
6000	123057.00	0.77
6100	123057.00	0.77
6200	123093.00	0.78
6300	123093.00	0.78
6400	123093.00	0.78
6500	123093.00	0.78
6600	123112.00	0.78
6700	123112.00	0.78
6800	123112.00	0.78
6900	123112.00	0.78
7000	123112.00	0.78
7100	123112.00	0.78
7200	123112.00	0.78
7300	123112.00	0.78
7400	123112.00	0.78
7500	123112.00	0.78
7600	123117.00	0.78
7700	123117.00	0.78
7800	123117.00	0.78
7900	123117.00	0.78
8000	123117.00	0.78
8100	123117.00	0.78
8200	123213.00	0.78
8300	123213.00	0.78
8400	123213.00	0.78
8500	123218.00	0.78
8600	123218.00	0.78
8700	123218.00	0.78
8800	123218.00	0.78
8900	123218.00	0.78
9000	123218.00	0.78
9100	123218.00	0.78
9200	123218.00	0.78
9300	123218.00	0.78
9400	123218.00	0.78
9500	123218.00	0.78
9600	123218.00	0.78
9700	123218.00	0.78
9800	123218.00	0.78
9900	123218.00	0.78
10000	123218.00	0.78
10100	123218.00	0.78
10200	123218.00	0.78
10300	123218.00	0.78
10400	123218.00	0.78
10500	123218.00	0.78
10600	123218.00	0.78
10700	123218.00	0.78
10800	123233.00	0.78
10900	123233.00	0.78
11000	123233.00	0.78
11100	123233.00	0.78
11200	123233.00	0.78
11300	123233.00	0.78
11400	123233.00	0.78
11500	123233.00	0.78
11600	123233.00	0.78
11700	123233.00	0.78
11800	123233.00	0.78
11900	123233.00	0.78
12000	123233.00	0.78
12100	123238.00	0.78
12200	123238.00	0.78
12300	123238.00	0.78
12400	123238.00	0.78
12500	123238.00	0.78
12600	123238.00	0.78
12700	123238.00	0.78
12800	123238.00	0.78
12900	123238.00	0.78
13000	123238.00	0.78
13100	123238.00	0.78
13200	123238.00	0.78
13300	123238.00	0.78
13400	123238.00	0.78
13500	123238.00	0.78
13600	123238.00	0.78
13700	123238.00	0.78
13800	123238.00	0.78
13900	123238.00	0.78
14000	123252.00	0.78
14100	123252.00	0.78
14200	123252.00	0.78
14300	123252.00	0.78
14400	123252.00	0.78
14500	123252.00	0.78
14600	123252.00	0.78
14700	123266.00	0.78
14800	123266.00	0.78
14900	123266.00	0.78
15000	123266.00	0.78
