classA_001;classA_001;classA_001
MSASol0.msf;0.808;0.660
MSASol1.msf;0.802;0.640
MSASol10.msf;0.808;0.660
MSASol11.msf;0.807;0.660
MSASol12.msf;0.806;0.660
MSASol13.msf;0.793;0.640
MSASol14.msf;0.806;0.650
MSASol15.msf;0.805;0.650
MSASol16.msf;0.795;0.650
MSASol17.msf;0.803;0.640
MSASol18.msf;0.802;0.640
MSASol19.msf;0.802;0.640
MSASol2.msf;0.802;0.640
MSASol20.msf;0.804;0.650
MSASol21.msf;0.807;0.660
MSASol22.msf;0.806;0.660
MSASol23.msf;0.807;0.660
MSASol24.msf;0.803;0.650
MSASol25.msf;0.802;0.640
MSASol26.msf;0.805;0.640
MSASol27.msf;0.807;0.660
MSASol28.msf;0.807;0.660
MSASol29.msf;0.794;0.650
MSASol3.msf;0.808;0.660
MSASol30.msf;0.806;0.640
MSASol31.msf;0.807;0.660
MSASol32.msf;0.802;0.650
MSASol33.msf;0.802;0.640
MSASol34.msf;0.807;0.660
MSASol35.msf;0.806;0.650
MSASol36.msf;0.802;0.640
MSASol37.msf;0.808;0.660
MSASol38.msf;0.807;0.660
MSASol39.msf;0.806;0.650
MSASol4.msf;0.802;0.640
MSASol40.msf;0.807;0.650
MSASol41.msf;0.808;0.660
MSASol42.msf;0.802;0.640
MSASol43.msf;0.805;0.640
MSASol44.msf;0.804;0.640
MSASol45.msf;0.807;0.660
MSASol46.msf;0.807;0.660
MSASol47.msf;0.794;0.640
MSASol48.msf;0.806;0.650
MSASol49.msf;0.805;0.650
MSASol5.msf;0.808;0.660
MSASol50.msf;0.806;0.650
MSASol51.msf;0.794;0.640
MSASol52.msf;0.802;0.650
MSASol53.msf;0.803;0.650
MSASol54.msf;0.805;0.650
MSASol55.msf;0.803;0.650
MSASol56.msf;0.807;0.650
MSASol57.msf;0.803;0.640
MSASol58.msf;0.803;0.650
MSASol59.msf;0.805;0.640
MSASol6.msf;0.803;0.630
MSASol60.msf;0.806;0.660
MSASol61.msf;0.806;0.660
MSASol62.msf;0.802;0.640
MSASol63.msf;0.806;0.650
MSASol64.msf;0.807;0.660
MSASol65.msf;0.803;0.640
MSASol66.msf;0.807;0.660
MSASol67.msf;0.805;0.650
MSASol68.msf;0.807;0.660
MSASol69.msf;0.807;0.660
MSASol7.msf;0.803;0.640
MSASol70.msf;0.806;0.640
MSASol71.msf;0.807;0.660
MSASol72.msf;0.808;0.660
MSASol73.msf;0.806;0.660
MSASol74.msf;0.807;0.660
MSASol75.msf;0.794;0.640
MSASol76.msf;0.807;0.660
MSASol77.msf;0.803;0.650
MSASol78.msf;0.807;0.660
MSASol79.msf;0.794;0.640
MSASol8.msf;0.802;0.640
MSASol80.msf;0.804;0.650
MSASol81.msf;0.806;0.660
MSASol82.msf;0.793;0.640
MSASol83.msf;0.808;0.660
MSASol84.msf;0.802;0.640
MSASol85.msf;0.806;0.640
MSASol86.msf;0.804;0.640
MSASol87.msf;0.793;0.640
MSASol88.msf;0.806;0.650
