dataset,method,objective_1,objective_2,fasta,status,message
"classA_001","caretta",-266529.0000000000,0.4628942299,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\caretta_classA_001.fasta",ok,""
"classA_001","clustalw",214549.0000000000,0.4600758218,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\clustalw_classA_001.fasta",ok,""
"classA_001","foldmason",184315.0000000000,0.5241717051,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\foldmason_classA_001.fasta",ok,""
"classA_001","kalign",217508.0000000000,0.5239710789,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\kalign_classA_001.fasta",ok,""
"classA_001","mafft",234782.0000000000,0.4481183443,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\mafft_classA_001.fasta",ok,""
"classA_001","mtmalign",136308.0000000000,0.0905754102,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\mtmalign_classA_001.fasta",ok,""
"classA_001","muscle5",231512.0000000000,0.3670318866,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\muscle5_classA_001.fasta",ok,""
"classA_001","mustang",160890.0000000000,0.2068704258,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\mustang_classA_001.fasta",ok,""
"classA_001","tcoffee",203671.0000000000,0.3029860905,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\tcoffee_classA_001.fasta",ok,""
"classA_001","tmaligner",217621.0000000000,0.4456697301,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\tmaligner_classA_001.fasta",ok,""
"classA_001","usalign",137880.0000000000,0.1682463821,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\usalign_classA_001.fasta",ok,""
"classA_001","usalign_clean",137880.0000000000,0.1682463821,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001\usalign_classA_001_clean.fasta",ok,""
"classA_001_19","caretta",-57504.0000000000,0.5663952876,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001_19\caretta_classA_001_19.fasta",ok,""
"classA_001_19","clustalw",71059.0000000000,0.5481399549,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001_19\clustalw_classA_001_19.fasta",ok,""
"classA_001_19","foldmason",59935.0000000000,0.5837717535,"C:\GDrive2026\TM-MSA\Datasets\GPCRdb\precomputed\classA_001_19\foldmason_classA_001_19.fasta",ok,""
