dataset	status	pdb_files	output_directory
classA_001	failed	36	/home/azureuser/results/caretta/classA_001
classA_001_19	failed	19	/home/azureuser/results/caretta/classA_001_19
classA_002	failed	75	/home/azureuser/results/caretta/classA_002
classA_002_19	failed	19	/home/azureuser/results/caretta/classA_002_19
classA_003	failed	29	/home/azureuser/results/caretta/classA_003
classA_003_19	failed	19	/home/azureuser/results/caretta/classA_003_19
classA_004	failed	36	/home/azureuser/results/caretta/classA_004
classA_004_19	failed	19	/home/azureuser/results/caretta/classA_004_19
classB1	failed	15	/home/azureuser/results/caretta/classB1
classF	failed	11	/home/azureuser/results/caretta/classF
classT2	failed	25	/home/azureuser/results/caretta/classT2
classT2_19	failed	19	/home/azureuser/results/caretta/classT2_19
