method,objective_1,objective_2
"caretta",-266529.0000000000,0.4628942299
"clustalw",214549.0000000000,0.4600758218
"foldmason",184315.0000000000,0.5241717051
"kalign",217508.0000000000,0.5239710789
"mafft",234782.0000000000,0.4481183443
"mtmalign",136308.0000000000,0.0905754102
"muscle5",231512.0000000000,0.3670318866
"mustang",160890.0000000000,0.2068704258
"tcoffee",203671.0000000000,0.3029860905
"tmaligner",217621.0000000000,0.4456697301
"usalign",137880.0000000000,0.1682463821
"usalign_clean",137880.0000000000,0.1682463821
