method,objective_1,objective_2
"caretta",-57504.0000000000,0.5663952876
"clustalw",71059.0000000000,0.5481399549
"foldmason",59935.0000000000,0.5837717535
"kalign",72859.0000000000,0.5871180936
"mafft",80761.0000000000,0.5356588136
"mtmalign",45740.0000000000,0.1402013665
"muscle5",75703.0000000000,0.4970936400
"mustang",50651.0000000000,0.3211480472
"tcoffee",71228.0000000000,0.4543731307
"tmaligner",70185.0000000000,0.5061698941
"usalign",46728.0000000000,0.2278179096
"usalign_clean",46728.0000000000,0.2278179096
