method,objective_1,objective_2
"caretta",19123.0000000000,0.6191421893
"clustalw",66147.0000000000,0.6039559655
"foldmason",59832.0000000000,0.6319684160
"kalign",68141.0000000000,0.6195973777
"mafft",72694.0000000000,0.6095856712
"mtmalign",21516.0000000000,0.2333440540
"muscle5",68579.0000000000,0.5108225942
"mustang",55589.0000000000,0.4890399164
"tcoffee",68118.0000000000,0.5719459696
"tmaligner",67340.0000000000,0.6069128290
"usalign",28860.0000000000,0.3571666338
"usalign_clean",28860.0000000000,0.3571666338
