method,objective_1,objective_2
"caretta",-198222.0000000000,0.4129347088
"clustalw",-28662.0000000000,0.4088768657
"foldmason",-58850.0000000000,0.4004883898
"kalign",-23514.0000000000,0.4472348602
"mafft",287.0000000000,0.4185479838
"mtmalign",-231827.0000000000,0.0872103102
"muscle5",-13434.0000000000,0.3660132852
"mustang",-76219.0000000000,0.2772323326
"tcoffee",-28560.0000000000,0.3072458501
"tmaligner",-14502.0000000000,0.4116808068
"usalign",-306990.0000000000,0.1242173299
"usalign_clean",-306990.0000000000,0.1242173299
