method,objective_1,objective_2
"caretta",-217838.0000000000,0.3282218213
"clustalw",-32729.0000000000,0.2897631758
"foldmason",-60903.0000000000,0.3103147230
"kalign",-41900.0000000000,0.3086008167
"mafft",-19780.0000000000,0.2994525753
"mtmalign",-226402.0000000000,0.1085825503
"muscle5",-25115.0000000000,0.2597536076
"mustang",-75580.0000000000,0.2285439641
"tcoffee",-38666.0000000000,0.2281098698
"tmaligner",-36277.0000000000,0.2764038746
"usalign",-180949.0000000000,0.1626207566
"usalign_clean",-180949.0000000000,0.1626207566
