method,objective_1,objective_2
"caretta",-183691.0000000000,0.3356242203
"clustalw",-11625.0000000000,0.2966347451
"foldmason",-27439.0000000000,0.3184903383
"kalign",-10001.0000000000,0.2983117405
"mafft",-10221.0000000000,0.3106150717
"mtmalign",-169705.0000000000,0.1164340643
"muscle5",-739.0000000000,0.2768487786
"mustang",-42105.0000000000,0.2463772575
"tcoffee",-11116.0000000000,0.2431130470
"tmaligner",-4332.0000000000,0.2864581723
"usalign",-117113.0000000000,0.1714749119
"usalign_clean",-117113.0000000000,0.1714749119
