method,objective_1,objective_2
"caretta",-29596.0000000000,0.5763211246
"clustalw",56482.0000000000,0.5869699796
"foldmason",51364.0000000000,0.5936916274
"kalign",59911.0000000000,0.5707192027
"mafft",60715.0000000000,0.5658766635
"mtmalign",16926.0000000000,0.1367948518
"muscle5",58805.0000000000,0.5491077831
"mustang",49161.0000000000,0.4525139948
"tcoffee",58526.0000000000,0.5469416920
"tmaligner",57817.0000000000,0.5710609937
"usalign",18984.0000000000,0.2162330523
"usalign_clean",18984.0000000000,0.2162330523
