method,objective_1,objective_2
"caretta",132301.0000000000,0.8026980545
"clustalw",135712.0000000000,0.7572803134
"foldmason",125030.0000000000,0.7879098369
"kalign",134789.0000000000,0.7647801482
"mafft",140296.0000000000,0.7729736489
"mtmalign",88149.0000000000,0.4616526795
"muscle5",138317.0000000000,0.7160911636
"mustang",126000.0000000000,0.6596844076
"tcoffee",135440.0000000000,0.7683263927
"tmaligner",137322.0000000000,0.7289834533
"usalign",117185.0000000000,0.6747605111
"usalign_clean",117185.0000000000,0.6747605111
