method,objective_1,objective_2
"caretta",68361.0000000000,0.8004468133
"clustalw",70169.0000000000,0.7608178573
"foldmason",63922.0000000000,0.7863939173
"kalign",69450.0000000000,0.7744886987
"mafft",72757.0000000000,0.7835385762
"mtmalign",42467.0000000000,0.4836361925
"muscle5",71569.0000000000,0.7427921569
"mustang",64121.0000000000,0.6656220810
"tcoffee",70428.0000000000,0.7759584407
"tmaligner",71009.0000000000,0.7458521182
"usalign",58690.0000000000,0.6718451054
"usalign_clean",58690.0000000000,0.6718451054
