                    cltr1_human.pdb     cltr2_human.pdb     ffar1_human.pdb     ffar2_human.pdb     ffar3_human.pdb     ffar4_human.pdb     gpr42_human.pdb     lpar1_human.pdb     lpar2_human.pdb     lpar3_human.pdb     lpar4_human.pdb     lpar5_human.pdb     lpar6_human.pdb     lt4r1_human.pdb     lt4r2_human.pdb     oxer1_human.pdb     s1pr1_human.pdb     s1pr2_human.pdb     s1pr3_human.pdb     
cltr1_human.pdb     0.000               2.000               2.619               2.704               2.541               3.249               2.629               3.839               3.960               3.887               2.779               2.852               2.602               2.778               2.900               3.076               3.946               4.247               4.339               
cltr2_human.pdb     2.000               0.000               2.612               2.859               2.793               4.033               2.768               3.771               3.712               3.608               2.588               2.923               2.733               3.000               3.180               2.969               3.481               3.827               3.629               
ffar1_human.pdb     2.619               2.612               0.000               2.282               2.308               3.222               2.309               3.736               3.629               3.576               2.381               2.506               2.565               2.680               2.700               2.770               3.602               3.317               3.548               
ffar2_human.pdb     2.704               2.859               2.282               0.000               2.474               3.319               2.403               3.644               3.859               3.921               2.620               2.694               3.028               2.944               3.061               3.034               3.686               3.440               3.847               
ffar3_human.pdb     2.541               2.793               2.308               2.474               0.000               3.511               0.445               3.908               3.902               3.963               2.759               2.503               2.921               3.220               2.924               2.945               3.729               3.745               3.790               
ffar4_human.pdb     3.249               4.033               3.222               3.319               3.511               0.000               3.587               4.100               3.664               3.984               3.574               3.619               3.523               3.032               2.994               3.434               3.870               3.711               3.544               
gpr42_human.pdb     2.629               2.768               2.309               2.403               0.445               3.587               0.000               3.914               3.929               3.943               2.695               2.500               3.037               3.229               2.924               2.965               3.718               3.815               3.788               
lpar1_human.pdb     3.839               3.771               3.736               3.644               3.908               4.100               3.914               0.000               1.391               2.405               4.042               4.262               4.070               3.375               3.836               3.778               2.801               3.071               2.144               
lpar2_human.pdb     3.960               3.712               3.629               3.859               3.902               3.664               3.929               1.391               0.000               2.102               4.017               3.983               3.994               3.304               3.371               3.566               2.083               2.582               2.255               
lpar3_human.pdb     3.887               3.608               3.576               3.921               3.963               3.984               3.943               2.405               2.102               0.000               3.938               4.123               3.934               3.503               3.292               3.640               2.401               3.127               2.672               
lpar4_human.pdb     2.779               2.588               2.381               2.620               2.759               3.574               2.695               4.042               4.017               3.938               0.000               3.065               2.192               2.859               3.033               2.846               4.149               4.351               4.309               
lpar5_human.pdb     2.852               2.923               2.506               2.694               2.503               3.619               2.500               4.262               3.983               4.123               3.065               0.000               2.284               3.043               3.624               2.751               4.122               3.959               4.438               
lpar6_human.pdb     2.602               2.733               2.565               3.028               2.921               3.523               3.037               4.070               3.994               3.934               2.192               2.284               0.000               2.806               2.856               2.746               4.176               4.126               4.087               
lt4r1_human.pdb     2.778               3.000               2.680               2.944               3.220               3.032               3.229               3.375               3.304               3.503               2.859               3.043               2.806               0.000               2.404               3.553               3.534               3.758               3.462               
lt4r2_human.pdb     2.900               3.180               2.700               3.061               2.924               2.994               2.924               3.836               3.371               3.292               3.033               3.624               2.856               2.404               0.000               3.473               3.515               3.561               3.452               
oxer1_human.pdb     3.076               2.969               2.770               3.034               2.945               3.434               2.965               3.778               3.566               3.640               2.846               2.751               2.746               3.553               3.473               0.000               3.893               3.790               3.895               
s1pr1_human.pdb     3.946               3.481               3.602               3.686               3.729               3.870               3.718               2.801               2.083               2.401               4.149               4.122               4.176               3.534               3.515               3.893               0.000               2.561               1.616               
s1pr2_human.pdb     4.247               3.827               3.317               3.440               3.745               3.711               3.815               3.071               2.582               3.127               4.351               3.959               4.126               3.758               3.561               3.790               2.561               0.000               2.703               
s1pr3_human.pdb     4.339               3.629               3.548               3.847               3.790               3.544               3.788               2.144               2.255               2.672               4.309               4.438               4.087               3.462               3.452               3.895               1.616               2.703               0.000               
